Product_Name,Brand,Category,Rating,Number_of_Reviews,Price_USD
Magic Foundation,Morphe,Powder,4.5,3073,87.98
Magic Cleanser,Rare Beauty,Bronzer,4.6,5265,119.38
Ultra CC Cream,Bobby Brown,Foundation,4.9,8467,110.77
Ultra Lip Gloss,Natasha Denona,Eyeliner,4.6,1985,35.27
Perfect Cleanser,Tatcha,Face Mask,4.1,4788,84.72
Perfect Highlighter,Bourjois,Face Mask,4.1,291,33.85
Ultra Primer,Too Faced,Mascara,4.8,5896,73.99
Divine Eye Shadow,Bobby Brown,Lip Gloss,4.0,3136,15.53
Ultra Eye Shadow,Farsali,Cleanser,4.1,5849,46.88
Super Makeup Remover,Sisley,Exfoliator,4.5,3563,31.11
Super Lip Liner,KVD Beauty,Primer,4.4,1999,64.94
Perfect BB Cream,Charlotte Tilbury,Face Oil,4.6,9683,32.02
Perfect Concealer,Milk Makeup,CC Cream,4.9,3171,108.03
Magic Lip Liner,Bobby Brown,Concealer,4.2,7091,69.01
Divine Contour,Glossier,Highlighter,4.7,7090,108.06
Divine Highlighter,Pat McGrath Labs,Blush,4.8,6293,36.71
Perfect BB Cream,Milk Makeup,BB Cream,4.2,6765,149.7
Magic Cleanser,Danessa Myricks,Concealer,4.7,2523,88.35
Divine Makeup Remover,Laura Mercier,Makeup Remover,4.4,3522,146.88
Magic Contour,Hourglass,Cleanser,4.9,7493,119.08
Perfect Face Oil,NARS,Face Oil,4.2,8028,123.67
Super BB Cream,RMS Beauty,Highlighter,4.2,7920,131.0
Divine Exfoliator,Perricone MD,Highlighter,4.5,3889,10.13
Magic BB Cream,Bobby Brown,Mascara,4.4,9308,122.94
Magic Highlighter,Yves Saint Laurent,Eye Shadow,4.8,9673,13.27
Divine BB Cream,Morphe,Face Oil,4.7,6624,95.04
Super Foundation,Danessa Myricks,Eye Shadow,4.9,7463,147.14
Ultra Foundation,RMS Beauty,Lip Liner,4.6,7599,100.42
Divine Face Oil,Tarte,Mascara,5.0,6978,142.37
Perfect Lip Liner,RMS Beauty,Lip Gloss,5.0,1194,81.91
Ultra Eye Shadow,Too Faced,Contour,4.1,3439,49.84
Ultra Powder,Clinique,Highlighter,4.0,6652,22.36
Divine Serum,Juvia’s Place,Foundation,4.5,2678,120.04
Divine Contour,Ilia Beauty,Face Oil,4.4,5645,89.74
Ultra Moisturizer,Becca,Highlighter,4.3,9126,125.99
Divine Mascara,KVD Beauty,Eyeliner,4.8,6617,19.31
Perfect Lip Gloss,Glossier,Eye Shadow,4.0,1856,100.13
Divine Exfoliator,Farsali,Face Oil,4.5,5129,106.17
Divine Mascara,Charlotte Tilbury,Concealer,4.5,7441,92.85
Magic Moisturizer,Patrick Ta,Mascara,5.0,4037,63.81
Perfect Moisturizer,Natasha Denona,Face Oil,4.8,8709,129.21
Magic BB Cream,Patrick Ta,Face Mask,4.9,3515,136.22
Ultra Foundation,Kylie Cosmetics,BB Cream,4.9,335,108.31
Perfect Primer,Clinique,Bronzer,4.7,5460,46.65
Super Exfoliator,Becca,Contour,4.6,8174,68.32
Ultra Foundation,Sisley,Concealer,4.3,5746,14.0
Magic Contour,Bobby Brown,Powder,4.2,116,27.25
Divine Face Mask,Sisley,Exfoliator,4.5,2181,93.67
Perfect Cleanser,Too Faced,Eyeliner,4.6,4360,108.28
Super Lip Liner,Hourglass,Eye Shadow,4.7,2799,127.13
Ultra Lip Liner,Pat McGrath Labs,Cleanser,4.7,7410,30.56
Ultra Highlighter,Urban Decay,Bronzer,4.3,9419,56.59
Perfect Lipstick,Drunk Elephant,Highlighter,4.7,1637,43.69
Divine BB Cream,KVD Beauty,Face Mask,4.8,7859,36.24
Ultra Cleanser,RMS Beauty,Foundation,4.9,8227,25.29
Perfect Highlighter,Hourglass,Concealer,4.1,1066,118.66
Perfect Mascara,Yves Saint Laurent,Face Oil,4.1,6291,92.58
Super Serum,Milk Makeup,Eyeliner,4.2,337,87.76
Magic Exfoliator,Charlotte Tilbury,Contour,4.6,9562,113.73
Perfect Blush,Natasha Denona,Makeup Remover,4.0,9526,107.32
Ultra Mascara,Clinique,Exfoliator,5.0,8542,130.76
Ultra Blush,Juvia’s Place,Highlighter,4.7,8940,149.67
Perfect Blush,Yves Saint Laurent,Mascara,4.0,6507,77.82
Divine Contour,Patrick Ta,Lip Gloss,5.0,3789,87.28
Super Moisturizer,Kylie Cosmetics,Makeup Remover,4.6,1288,129.16
Super CC Cream,Make Up For Ever,Lip Gloss,4.3,3071,46.0
Magic Serum,Natasha Denona,Mascara,4.6,470,139.72
Perfect Lip Liner,Natasha Denona,Contour,4.4,8952,103.95
Ultra Lip Liner,NARS,Eyeliner,4.7,9453,65.4
Ultra Bronzer,Kylie Cosmetics,Concealer,4.0,8664,14.02
Magic Bronzer,Bite Beauty,Powder,4.4,2168,26.56
Super Bronzer,Shiseido,Face Oil,4.4,6904,49.21
Perfect Powder,Anastasia Beverly Hills,Lipstick,4.6,6430,85.35
Magic BB Cream,Bite Beauty,Eye Shadow,4.8,2321,12.73
Divine Exfoliator,Ilia Beauty,Serum,4.1,6530,76.79
Magic Lip Gloss,E.l.f.,Lipstick,4.4,2715,83.63
Divine Cleanser,Natasha Denona,Foundation,5.0,4798,75.44
Divine Serum,Ilia Beauty,Face Mask,4.8,5656,95.26
Ultra Makeup Remover,Shiseido,Eyeliner,4.6,4446,132.12
Divine Contour,Laura Mercier,CC Cream,4.0,580,94.89
Ultra Eye Shadow,Yves Saint Laurent,BB Cream,4.5,7876,68.76
Magic Lip Gloss,Bite Beauty,Eye Shadow,4.6,4061,74.88
Divine Lip Gloss,Fenty Beauty,Serum,4.1,9197,104.95
Ultra Highlighter,Milk Makeup,Makeup Remover,4.7,1445,88.09
Super Primer,E.l.f.,Concealer,4.5,4580,60.17
Ultra Powder,Charlotte Tilbury,Lip Liner,4.9,6715,113.59
Ultra Serum,NARS,Face Oil,4.6,7801,84.92
Divine Exfoliator,Hourglass,Lipstick,4.7,506,101.07
Divine Foundation,Kylie Cosmetics,Makeup Remover,4.2,5691,17.45
Perfect Lipstick,Ilia Beauty,Eye Shadow,4.0,1880,46.53
Perfect Lip Liner,Charlotte Tilbury,Foundation,4.4,1748,51.66
Super Mascara,Farsali,Exfoliator,4.0,727,89.93
Perfect CC Cream,Natasha Denona,Lip Liner,4.0,1551,71.66
Magic Eyeliner,Perricone MD,Foundation,4.8,250,131.05
Ultra Lipstick,Fenty Beauty,Lip Liner,4.2,7492,56.22
Super CC Cream,Kiehl’s,Face Oil,4.4,6403,109.96
Super Contour,Kylie Cosmetics,Face Mask,4.5,1992,25.74
Super Face Oil,Kiehl’s,Highlighter,4.7,860,131.14
Super Contour,Bourjois,Lip Liner,4.7,9252,131.94
Divine Cleanser,ColourPop,Exfoliator,4.1,8146,142.49
Magic CC Cream,Clinique,Setting Spray,4.5,3903,139.2
Divine Lip Gloss,Perricone MD,Concealer,4.7,9665,95.17
Super Face Oil,RMS Beauty,Concealer,4.1,6860,144.67
Perfect Contour,Kylie Cosmetics,Face Oil,4.9,771,63.82
Ultra Eye Shadow,Too Faced,Powder,4.9,2005,47.48
Perfect Cleanser,RMS Beauty,Serum,4.1,8393,55.62
Perfect Serum,E.l.f.,Setting Spray,4.1,4382,62.07
Ultra Bronzer,Ilia Beauty,Eye Shadow,4.6,6356,29.34
Divine Mascara,Too Faced,Setting Spray,4.2,3822,110.15
Magic Cleanser,Sisley,Eye Shadow,4.7,9523,78.43
Ultra Lipstick,Ilia Beauty,Serum,4.7,4769,103.12
Ultra Exfoliator,Laura Mercier,Foundation,4.2,9790,48.3
Perfect Eye Shadow,KVD Beauty,Setting Spray,4.4,2388,87.29
Ultra Lip Liner,RMS Beauty,Blush,4.9,7026,127.12
Divine Moisturizer,Danessa Myricks,Face Oil,4.3,1436,60.47
Perfect Face Oil,Kylie Cosmetics,BB Cream,4.4,2162,120.25
Magic Contour,Huda Beauty,Primer,4.7,5934,110.02
Divine Lip Liner,Make Up For Ever,Mascara,4.8,4780,43.87
Magic Face Oil,Too Faced,Exfoliator,5.0,3329,12.12
Ultra Lip Gloss,Charlotte Tilbury,Concealer,4.0,5799,60.47
Ultra Lip Liner,Juvia’s Place,Mascara,4.5,4612,139.08
Perfect CC Cream,Shiseido,BB Cream,4.6,5719,77.39
Magic Face Mask,Fenty Beauty,Lip Gloss,4.9,9617,112.82
Divine Face Mask,Anastasia Beverly Hills,Foundation,4.9,1015,110.18
Perfect Makeup Remover,Rare Beauty,Setting Spray,4.6,482,74.48
Divine Powder,Kiehl’s,Setting Spray,4.6,5315,27.75
Super CC Cream,Yves Saint Laurent,Concealer,4.1,5355,88.0
Magic Concealer,Fenty Beauty,Contour,4.7,8844,24.95
Ultra Eye Shadow,Danessa Myricks,Exfoliator,4.1,9535,118.9
Divine Setting Spray,E.l.f.,BB Cream,4.0,6970,34.34
Divine Lipstick,E.l.f.,Makeup Remover,4.8,7334,143.07
Super Eye Shadow,Bite Beauty,Setting Spray,4.9,9465,61.95
Magic Exfoliator,Huda Beauty,Face Oil,4.1,671,117.79
Ultra CC Cream,Yves Saint Laurent,Mascara,4.3,7837,73.52
Perfect Powder,Bourjois,Bronzer,4.1,8958,46.69
Divine Eyeliner,Becca,BB Cream,4.1,4892,47.13
Divine CC Cream,Farsali,CC Cream,4.1,6783,139.14
Super Highlighter,Morphe,BB Cream,4.7,3879,54.8
Ultra Exfoliator,Juvia’s Place,Lip Liner,4.6,8408,73.59
Super BB Cream,Make Up For Ever,Mascara,4.9,1535,103.52
Ultra Face Oil,Yves Saint Laurent,Bronzer,4.3,2940,21.21
Perfect Makeup Remover,ColourPop,Mascara,4.3,9996,134.04
Perfect Concealer,Becca,Mascara,4.6,9471,137.21
Magic Eye Shadow,Pat McGrath Labs,Blush,4.7,5318,144.39
Divine Highlighter,Glossier,Bronzer,4.2,8279,147.72
Super Mascara,Too Faced,CC Cream,4.6,3274,87.26
Magic Powder,Bourjois,Contour,4.9,6155,77.24
Divine Face Mask,Make Up For Ever,Foundation,4.3,4489,117.38
Super Concealer,Laura Mercier,Lip Liner,4.9,4596,82.48
Ultra Highlighter,Morphe,Exfoliator,4.6,3186,113.43
Magic Lip Gloss,Tatcha,Eye Shadow,4.7,7765,125.28
Ultra Concealer,Bite Beauty,Face Oil,4.9,7898,51.12
Ultra Lipstick,Danessa Myricks,Foundation,4.6,6315,104.61
Super Serum,NARS,Mascara,4.4,8956,90.84
Ultra Mascara,Bite Beauty,CC Cream,5.0,4838,66.31
Magic Eye Shadow,Too Faced,Eyeliner,4.5,3651,77.15
Magic Eye Shadow,Morphe,Mascara,4.6,4679,130.79
Super CC Cream,Milk Makeup,Foundation,5.0,5600,75.58
Divine Foundation,Charlotte Tilbury,Eyeliner,4.8,2629,31.48
Magic Makeup Remover,Tarte,Lipstick,4.0,4890,17.43
Divine Eye Shadow,Bourjois,Cleanser,4.8,6455,111.07
Ultra Eyeliner,Ilia Beauty,Setting Spray,4.2,5943,80.42
Super Lip Liner,Bourjois,Contour,4.5,2038,112.69
Perfect Eyeliner,Juvia’s Place,Setting Spray,4.9,8345,140.41
Divine Primer,Bobby Brown,Bronzer,5.0,2637,107.3
Magic Face Oil,Patrick Ta,Concealer,4.9,2638,81.83
Magic Lip Liner,Urban Decay,Exfoliator,4.1,5983,14.64
Divine Primer,IT Cosmetics,Powder,4.8,7740,116.24
Divine BB Cream,Too Faced,Face Oil,4.1,7991,11.64
Perfect Exfoliator,Glossier,Makeup Remover,4.7,664,102.56
Perfect Eye Shadow,Bourjois,Moisturizer,5.0,4867,118.88
Ultra Bronzer,Danessa Myricks,Moisturizer,4.5,6877,57.21
Perfect Highlighter,RMS Beauty,Blush,4.4,8407,57.39
Super Lip Gloss,Huda Beauty,Lip Gloss,4.7,5374,22.02
Magic Lip Gloss,Glossier,Contour,4.3,640,58.93
Perfect Face Oil,Morphe,Eye Shadow,4.4,5732,57.65
Magic Mascara,Laura Mercier,Exfoliator,4.1,2762,101.01
Perfect Contour,Anastasia Beverly Hills,Contour,4.1,7735,15.18
Divine Mascara,Juvia’s Place,Lipstick,4.6,4791,38.43
Magic Highlighter,Huda Beauty,Lipstick,4.7,9106,74.53
Magic Face Oil,Patrick Ta,Face Oil,4.5,4653,52.9
Perfect Face Mask,KVD Beauty,Moisturizer,4.9,9492,83.9
Divine Face Oil,Urban Decay,Makeup Remover,4.9,5715,84.5
Super Concealer,Anastasia Beverly Hills,BB Cream,4.4,9172,21.33
Perfect Mascara,Morphe,Setting Spray,4.5,6069,70.99
Perfect Powder,Bite Beauty,Lip Gloss,4.5,7064,142.36
Divine Eye Shadow,Laura Mercier,Blush,4.1,588,146.54
Magic Makeup Remover,Pat McGrath Labs,Highlighter,4.2,2484,52.99
Ultra Lip Liner,Farsali,Serum,5.0,273,11.79
Super Serum,Clinique,Lipstick,4.2,4390,33.17
Magic Bronzer,IT Cosmetics,Contour,4.3,8962,57.38
Ultra Highlighter,Rare Beauty,Moisturizer,4.5,8134,36.98
Super Eyeliner,Sisley,Primer,4.5,7141,148.83
Perfect Setting Spray,Kylie Cosmetics,Highlighter,5.0,4247,126.82
Divine Concealer,Ilia Beauty,CC Cream,4.5,1352,130.45
Magic Moisturizer,Clinique,Contour,4.1,5855,35.73
Ultra Mascara,Patrick Ta,Contour,4.4,1588,110.19
Super Concealer,Sisley,Makeup Remover,4.4,916,22.9
Divine Foundation,Sisley,Makeup Remover,4.9,3773,102.1
Ultra Blush,Kylie Cosmetics,Face Mask,4.9,1324,107.31
Magic Setting Spray,RMS Beauty,Face Mask,4.3,1427,55.27
Perfect Moisturizer,Huda Beauty,Bronzer,4.3,7625,137.97
Ultra Lip Gloss,Bourjois,Contour,4.9,5849,137.65
Divine CC Cream,Bite Beauty,Highlighter,4.0,3888,120.25
Divine Bronzer,Juvia’s Place,Primer,4.4,3481,115.06
Super BB Cream,Bite Beauty,Serum,4.1,2374,132.62
Divine Lip Liner,Shiseido,Foundation,4.2,1232,29.57
Ultra Serum,E.l.f.,Exfoliator,4.1,6575,79.38
Perfect Exfoliator,Natasha Denona,Serum,4.6,5949,48.2
Divine BB Cream,Tatcha,Contour,4.7,9035,76.51
Magic Eyeliner,Juvia’s Place,Moisturizer,4.0,8970,82.46
Super Setting Spray,Huda Beauty,Blush,4.3,9026,100.46
Divine Concealer,Juvia’s Place,Moisturizer,4.8,177,84.8
Perfect Powder,Kiehl’s,Primer,4.7,5837,116.11
Magic Eyeliner,Morphe,Primer,5.0,7174,136.78
Magic Blush,Ilia Beauty,Primer,4.8,1979,67.74
Magic Cleanser,Laura Mercier,Concealer,4.1,8803,108.17
Magic Makeup Remover,E.l.f.,Moisturizer,4.8,2676,50.61
Super Setting Spray,Ilia Beauty,Eyeliner,4.5,5429,18.59
Perfect Powder,Ilia Beauty,Powder,4.5,7549,47.3
Magic Mascara,ColourPop,Serum,4.2,4667,144.25
Super Face Mask,Anastasia Beverly Hills,Setting Spray,4.7,3264,145.69
Ultra Setting Spray,Morphe,BB Cream,4.5,5531,143.88
Perfect Serum,Kylie Cosmetics,Face Mask,4.7,7527,37.21
Magic Lip Liner,ColourPop,Lip Gloss,4.1,8659,84.63
Ultra Highlighter,Rare Beauty,Setting Spray,4.3,3313,46.87
Ultra Contour,Bobby Brown,Blush,5.0,239,43.3
Perfect Face Oil,KVD Beauty,Contour,4.0,988,92.8
Super BB Cream,Milk Makeup,Makeup Remover,4.8,2036,110.83
Divine Face Oil,Laura Mercier,Serum,4.2,1164,104.02
Magic Mascara,Bourjois,Setting Spray,4.7,4600,68.65
Super Eye Shadow,Danessa Myricks,Lip Gloss,4.4,2829,143.05
Perfect Setting Spray,RMS Beauty,Cleanser,4.9,1271,30.66
Magic Eyeliner,E.l.f.,Bronzer,4.3,6449,35.08
Divine Bronzer,Laura Mercier,Setting Spray,4.7,2723,80.19
Magic Bronzer,Fenty Beauty,Primer,4.1,4675,145.7
Magic Powder,Becca,Blush,4.1,3096,130.5
Ultra Mascara,Kiehl’s,Cleanser,4.8,9196,58.88
Super Setting Spray,Bourjois,BB Cream,4.5,5884,79.49
Magic Face Mask,Bobby Brown,Cleanser,4.7,536,115.93
Super Setting Spray,Bourjois,Lip Liner,4.5,5790,86.46
Super Exfoliator,Farsali,Makeup Remover,4.2,4687,44.95
Ultra Cleanser,Pat McGrath Labs,Face Mask,4.6,2774,82.76
Ultra BB Cream,Sisley,Highlighter,5.0,349,99.33
Magic Face Oil,IT Cosmetics,Primer,4.7,3050,61.66
Super Lipstick,Charlotte Tilbury,Lip Liner,4.8,691,16.07
Magic Foundation,Becca,Face Oil,4.3,1992,48.34
Magic BB Cream,Rare Beauty,CC Cream,4.6,8967,40.26
Super Face Mask,Anastasia Beverly Hills,Contour,4.2,6476,102.22
Ultra Eye Shadow,RMS Beauty,Bronzer,4.2,2174,97.32
Magic CC Cream,Make Up For Ever,Bronzer,4.9,5123,114.42
Super Setting Spray,Laura Mercier,Highlighter,4.0,1063,127.48
Perfect Lip Liner,Huda Beauty,Face Mask,4.7,4808,112.76
Divine BB Cream,Too Faced,Serum,4.8,4305,139.64
Divine Cleanser,Charlotte Tilbury,CC Cream,4.4,2803,24.68
Ultra Highlighter,Too Faced,Primer,4.0,7324,84.53
Super Blush,E.l.f.,Face Mask,4.2,7260,94.31
Divine Setting Spray,NARS,Exfoliator,4.3,4491,84.52
Divine Powder,Yves Saint Laurent,Bronzer,4.7,9602,111.99
